"rank","Player","GP","alpha","lq","uq","median_rank","rank_uq","rank_lq","rank_range","prob_rank1","prob_top25"
658,"Tushar Imran",40,2.96179479342155,2.56803739650278,3.40549150101473,651,356.95,762.025,405.075,0,0.001
659,"CN Evans",48,2.96128654718054,2.54576986949078,3.36041609205796,643,385.975,768,382.025,0,0
660,"Wasim Akram",273,2.95899828879105,2.75325521322348,3.17257066969225,649.5,526,721.025,195.025,0,0
661,"CO Browne",34,2.95748524931756,2.50790511204924,3.42003728793507,646,340,775,435,0,0
662,"AR Caddick",38,2.95683988720918,2.50646829519533,3.49851787846556,651.5,297.925,775,477.075,0,0
663,"SB Joshi",45,2.95168044641103,2.61462347658487,3.32253293658185,652.5,424.95,756,331.05,0,0
664,"PAJ DeFreitas",66,2.95070480579274,2.58931714635417,3.31359937136514,651,437.85,755.025,317.175,0,0
665,"Mudassar Bukhari",36,2.94978192553176,2.57597103219868,3.36841388549362,657,385.975,762.075,376.1,0,0
666,"Shaheen Shah Afridi",36,2.94495366710991,2.4325809231073,3.50379324913298,655,267.85,784.025,516.175,0,0.001
667,"Mashrafe Mortaza",157,2.94394799539213,2.6584680298043,3.24555501463054,654.5,473.975,741.05,267.075,0,0
668,"S Lamichhane",42,2.93974055841291,2.51865451928248,3.34908573651523,655,401.975,773,371.025,0,0
669,"R Ashwin",61,2.93580175771046,2.57840761743431,3.30770718062561,659,432.95,759.025,326.075,0,0
670,"IR Bishop",43,2.92562321788045,2.51955686328899,3.37812639290327,665,379.925,774,394.075,0,0
671,"Mohammad Naveed",34,2.92550033223761,2.48368649767805,3.40675984346782,662,358.925,779,420.075,0,0
672,"SMSM Senanayake",33,2.9248392845256,2.44079207794434,3.47103724279225,665,314.825,786,471.175,0,0
673,"KMDN Kulasekara",119,2.92014939569473,2.6431360219447,3.19531019391953,663,510.975,750,239.025,0,0
674,"JN Gillespie",38,2.91986776842482,2.41662335549534,3.43387391746883,666,333,786.025,453.025,0,0.001
675,"RMH Binny",49,2.91923885496401,2.56467316212992,3.28898794737206,664,441.975,765,323.025,0,0
676,"IJ Harvey",50,2.91659961535313,2.57337789629669,3.2524850165883,668.5,469.975,761,291.025,0,0
677,"ALF de Mel",41,2.91619394707559,2.55579877667254,3.3065930677677,663,431.975,767,335.025,0,0
678,"RA Harper",71,2.91530879274895,2.62078687481062,3.21713999266266,665.5,498.975,754.025,255.05,0,0
679,"MG Johnson",90,2.90959209812287,2.61183005670915,3.21126285274213,669,498.975,756.025,257.05,0,0
680,"Naved-ul-Hasan",49,2.90719423304667,2.52716533372171,3.31019512202749,671,440.95,772,331.05,0,0
681,"BM Scholtz",41,2.90352878140863,2.44966656763943,3.36179573754563,676,398.975,783,384.025,0,0
